number,step,surface,valid_time,t2m
0,0 days,0.0,2007-01-06 10:00:00,274.059
0,0 days,0.0,2007-01-06 10:00:00,273.92157
0,0 days,0.0,2007-01-06 11:00:00,274.02264
0,0 days,0.0,2007-01-06 11:00:00,273.87823
0,0 days,0.0,2007-01-06 12:00:00,273.97205
0,0 days,0.0,2007-01-06 12:00:00,273.82318
0,0 days,0.0,2007-01-06 13:00:00,273.90616
0,0 days,0.0,2007-01-06 13:00:00,273.78134
0,0 days,0.0,2007-01-06 14:00:00,273.8056
0,0 days,0.0,2007-01-06 14:00:00,273.6881
0,0 days,0.0,2007-01-06 15:00:00,273.69128
0,0 days,0.0,2007-01-06 15:00:00,273.59335
0,0 days,0.0,2007-01-06 16:00:00,273.55542
0,0 days,0.0,2007-01-06 16:00:00,273.46143
0,0 days,0.0,2007-01-06 17:00:00,273.4317
0,0 days,0.0,2007-01-06 17:00:00,273.34888
0,0 days,0.0,2007-01-06 18:00:00,273.31485
0,0 days,0.0,2007-01-06 18:00:00,273.26447
0,0 days,0.0,2007-01-06 19:00:00,273.1956
0,0 days,0.0,2007-01-06 19:00:00,273.1844
0,0 days,0.0,2007-01-06 20:00:00,273.12427
0,0 days,0.0,2007-01-06 20:00:00,273.14246
0,0 days,0.0,2007-01-06 21:00:00,273.08252
0,0 days,0.0,2007-01-06 21:00:00,273.13257
0,0 days,0.0,2007-01-06 22:00:00,272.96814
0,0 days,0.0,2007-01-06 22:00:00,273.00198
0,0 days,0.0,2007-01-06 23:00:00,272.8887
0,0 days,0.0,2007-01-06 23:00:00,272.9427
0,0 days,0.0,2007-01-07 00:00:00,272.85184
0,0 days,0.0,2007-01-07 00:00:00,272.91788
0,0 days,0.0,2007-01-07 01:00:00,272.86676
0,0 days,0.0,2007-01-07 01:00:00,272.96805
0,0 days,0.0,2007-01-07 02:00:00,272.90756
0,0 days,0.0,2007-01-07 02:00:00,273.04663
0,0 days,0.0,2007-01-07 03:00:00,272.97067
0,0 days,0.0,2007-01-07 03:00:00,273.1363
0,0 days,0.0,2007-01-07 04:00:00,273.05652
0,0 days,0.0,2007-01-07 04:00:00,273.22128
0,0 days,0.0,2007-01-07 05:00:00,273.1297
0,0 days,0.0,2007-01-07 05:00:00,273.27344
0,0 days,0.0,2007-01-07 06:00:00,273.21576
0,0 days,0.0,2007-01-07 06:00:00,273.31784
0,0 days,0.0,2007-01-07 07:00:00,273.30048
0,0 days,0.0,2007-01-07 07:00:00,273.35947
0,0 days,0.0,2007-01-07 08:00:00,273.36337
0,0 days,0.0,2007-01-07 08:00:00,273.38516
0,0 days,0.0,2007-01-07 09:00:00,273.4179
0,0 days,0.0,2007-01-07 09:00:00,273.38373
0,0 days,0.0,2007-01-07 10:00:00,273.02808
0,0 days,0.0,2007-01-07 10:00:00,272.82492
0,0 days,0.0,2007-01-07 11:00:00,272.91385
0,0 days,0.0,2007-01-07 11:00:00,272.72778
0,0 days,0.0,2007-01-07 12:00:00,272.8386
0,0 days,0.0,2007-01-07 12:00:00,272.67853
0,0 days,0.0,2007-01-07 13:00:00,272.84195
0,0 days,0.0,2007-01-07 13:00:00,272.6861
0,0 days,0.0,2007-01-07 14:00:00,272.78223
0,0 days,0.0,2007-01-07 14:00:00,272.66025
0,0 days,0.0,2007-01-07 15:00:00,272.79382
0,0 days,0.0,2007-01-07 15:00:00,272.68414
0,0 days,0.0,2007-01-07 16:00:00,272.87982
0,0 days,0.0,2007-01-07 16:00:00,272.7525
